camera_id,timestamp,bbox,confidence
CAM_01,2026-06-03 14:56:07,"(779, 267, 821, 292)",0.6804361343383789
CAM_01,2026-06-03 14:56:08,"(618, 242, 670, 272)",0.5402550101280212
CAM_01,2026-06-03 14:56:26,"(438, 35, 487, 78)",0.5183566808700562
CAM_01,2026-06-03 14:56:26,"(438, 35, 487, 78)",0.5001729726791382
CAM_01,2026-06-03 14:56:26,"(438, 35, 487, 78)",0.5536255240440369
CAM_01,2026-06-03 14:56:27,"(438, 35, 487, 78)",0.5122780799865723
CAM_01,2026-06-03 14:56:27,"(438, 35, 487, 78)",0.5562143325805664
CAM_01,2026-06-03 14:56:27,"(439, 34, 488, 79)",0.5885442495346069
CAM_01,2026-06-03 14:56:27,"(439, 34, 488, 79)",0.6118866801261902
CAM_01,2026-06-03 14:56:27,"(439, 34, 488, 79)",0.5616716742515564
CAM_01,2026-06-03 14:56:29,"(597, 43, 658, 73)",0.7877169847488403
CAM_01,2026-06-03 14:56:29,"(599, 44, 662, 77)",0.8278700709342957
CAM_01,2026-06-03 14:56:29,"(412, 67, 456, 96)",0.5270353555679321
CAM_01,2026-06-03 14:56:30,"(611, 48, 660, 82)",0.7798023223876953
CAM_01,2026-06-03 14:56:30,"(613, 61, 666, 96)",0.7879644632339478
CAM_01,2026-06-03 14:56:30,"(615, 65, 672, 104)",0.8620110750198364
CAM_01,2026-06-03 14:56:30,"(620, 75, 673, 113)",0.5372444987297058
CAM_01,2026-06-03 14:56:30,"(619, 77, 677, 116)",0.7988960146903992
CAM_01,2026-06-03 14:56:31,"(620, 78, 687, 123)",0.8174388408660889
CAM_01,2026-06-03 14:56:31,"(625, 82, 699, 128)",0.7688776254653931
CAM_01,2026-06-03 14:56:31,"(633, 95, 711, 143)",0.8325626254081726
CAM_01,2026-06-03 14:56:31,"(643, 103, 716, 151)",0.8636497259140015
CAM_01,2026-06-03 14:56:31,"(663, 119, 732, 170)",0.8392730355262756
CAM_01,2026-06-03 14:56:32,"(668, 121, 744, 176)",0.8330506086349487
CAM_01,2026-06-03 14:56:32,"(676, 131, 750, 180)",0.8782861232757568
CAM_01,2026-06-03 14:56:32,"(678, 146, 765, 198)",0.8561810851097107
CAM_01,2026-06-03 14:56:32,"(679, 160, 768, 216)",0.8281063437461853
CAM_01,2026-06-03 14:56:33,"(679, 174, 770, 233)",0.8733569979667664
CAM_01,2026-06-03 14:56:33,"(682, 177, 780, 243)",0.7183078527450562
CAM_01,2026-06-03 14:56:33,"(689, 183, 812, 252)",0.6826547980308533
CAM_01,2026-06-03 14:56:33,"(695, 193, 832, 261)",0.5375459790229797
CAM_01,2026-06-03 14:56:33,"(832, 340, 1068, 434)",0.9320966601371765
CAM_01,2026-06-03 14:56:34,"(1181, 462, 1280, 556)",0.773636519908905
CAM_01,2026-06-03 14:56:35,"(432, 31, 482, 82)",0.5056113004684448
CAM_01,2026-06-03 14:56:36,"(761, 121, 882, 184)",0.8304623961448669
CAM_01,2026-06-03 14:56:43,"(936, 228, 972, 262)",0.5255928635597229
CAM_01,2026-06-03 14:56:44,"(936, 229, 972, 262)",0.5081900954246521
CAM_01,2026-06-03 14:57:06,"(932, 230, 973, 263)",0.6038635969161987
CAM_01,2026-06-03 14:57:06,"(881, 204, 967, 255)",0.7020313143730164
CAM_01,2026-06-03 14:57:06,"(881, 204, 967, 255)",0.69863361120224
CAM_01,2026-06-03 14:57:07,"(881, 204, 967, 255)",0.6881828904151917
CAM_01,2026-06-03 14:57:07,"(881, 204, 967, 255)",0.6704766154289246
CAM_01,2026-06-03 14:57:07,"(881, 204, 967, 256)",0.6698544025421143
CAM_01,2026-06-03 14:57:07,"(881, 204, 967, 255)",0.6706176400184631
CAM_01,2026-06-03 14:57:07,"(880, 204, 966, 257)",0.6842566132545471
CAM_01,2026-06-03 14:57:08,"(880, 204, 966, 257)",0.6911759972572327
CAM_01,2026-06-03 14:57:08,"(880, 204, 966, 258)",0.6772474646568298
CAM_01,2026-06-03 14:57:08,"(880, 204, 966, 258)",0.6592809557914734
CAM_01,2026-06-03 14:57:08,"(880, 204, 966, 258)",0.7265478372573853
CAM_01,2026-06-03 14:57:08,"(880, 204, 966, 258)",0.7387239336967468
CAM_01,2026-06-03 14:57:09,"(880, 204, 966, 258)",0.7426086068153381
CAM_01,2026-06-03 14:57:09,"(880, 204, 966, 258)",0.7504228353500366
